ID,Tags
56207b20aecee0c62f8b4568,"Волосы: биозавивка волос, вечерние прически, выпрямление волос, детские парикмахерские, мелирование, окрашивание, свадебные прически, стрижка бороды и усов, стрижка мужская, стрижки, тонирование, укладка, уход за волосами и спа, химическая завивка; Руки и ноги: shellac, акриловые ногти, аппаратный маникюр, аппаратный педикюр, гелевые ногти, гель-лак, дизайн ногтей, маникюр, наращивание ногтей, педикюр, спа-уход; Лицо и тело: коррекция и окрашивание бровей, макияж, наращивание ресниц, окрашивание ресниц, эпиляция;"
4f145feef89c60510c000d1d,"Волосы: детские парикмахерские, мелирование, окрашивание, стрижка мужская, стрижки, тонирование, укладка, уход за волосами и спа, химическая завивка; Руки и ноги: shellac, аппаратный педикюр, дизайн ногтей, маникюр, педикюр, спа-уход; Лицо и тело: антицеллюлитный массаж, аппаратная косметология, биоревитализация, гиалуроновая кислота, имидж-студии, инъекции Ботокс, Диспорт, контурная пластика, коррекция и окрашивание бровей, лазер, лазерная эпиляция, макияж, массаж, массаж лица, мезонити, мезотерапия, наращивание ресниц, обертывания, окрашивание ресниц, перманентный макияж, пилинг, свадебный макияж, тайский массаж, ультразвук, уход за кожей, чистка лица, эпиляция;"
5991512ade77b963d5418158,"Волосы: биозавивка волос, вечерние прически, выпрямление волос, детские парикмахерские, массаж головы, мезотерапия кожи головы, мелирование, наращивание волос, окрашивание, плетение кос, свадебные прически, стрижка бороды и усов, стрижка мужская, стрижки, тонирование, укладка, уход за волосами и спа, химическая завивка; Руки и ноги: shellac, акриловые ногти, аппаратный маникюр, аппаратный педикюр, гелевые ногти, гель-лак, дизайн ногтей, маникюр, наращивание ногтей, педикюр, рефлексотерапия, спа-уход; Лицо и тело: ELOS, аппаратная косметология, биоревитализация, гиалуроновая кислота, инъекции Ботокс, Диспорт, контурная пластика, коррекция и окрашивание бровей, криотерапия, лазер, лазерная эпиляция, макияж, массаж, массаж лица, мезонити, мезотерапия, наращивание ресниц, окрашивание ресниц, перманентный макияж, пилинг, пирсинг, свадебный макияж, термаж, ультразвук, уход за кожей, фотоэпиляция, чистка лица, шугаринг, эпиляция;"
57e88c2cbbb091844a8b4575,"Волосы: биозавивка волос, вечерние прически, выпрямление волос, детские парикмахерские, консультация трихолога, массаж головы, мезотерапия кожи головы, мелирование, наращивание волос, окрашивание, плетение кос, свадебные прически, стрижка бороды и усов, стрижка мужская, стрижки, тонирование, укладка, уход за волосами и спа, химическая завивка; Руки и ноги: shellac, акриловые ногти, аппаратный маникюр, аппаратный педикюр, гелевые ногти, гель-лак, дизайн ногтей, маникюр, наращивание ногтей, педикюр, рефлексотерапия, спа-уход; Лицо и тело: антицеллюлитный массаж, имидж-студии, коррекция и окрашивание бровей, лазерная эпиляция, макияж, массаж, массаж лица, наращивание ресниц, окрашивание ресниц, перманентный макияж, свадебный макияж, уход за кожей, фотоэпиляция, чистка лица, шугаринг, эпиляция;"
5265f69b40c08846278b458e,"Волосы: биозавивка волос, вечерние прически, выпрямление волос, детские парикмахерские, консультация трихолога, массаж головы, мелирование, наращивание волос, окрашивание, плетение кос, свадебные прически, стрижка бороды и усов, стрижка мужская, стрижки, тонирование, укладка, уход за волосами и спа, химическая завивка; Руки и ноги: shellac, акриловые ногти, аппаратный маникюр, аппаратный педикюр, гелевые ногти, гель-лак, дизайн ногтей, маникюр, наращивание ногтей, педикюр, рефлексотерапия, спа-уход; Лицо и тело: антицеллюлитный массаж, коррекция и окрашивание бровей, макияж, массаж, массаж лица, наращивание ресниц, обертывания, окрашивание ресниц, пилинг, свадебный макияж, уход за кожей, чистка лица, шугаринг, эпиляция;"
57a9caab40c088e74d8b7379,"Волосы: биозавивка волос, вечерние прически, детские парикмахерские, массаж головы, мезотерапия кожи головы, мелирование, окрашивание, плетение кос, свадебные прически, стрижка бороды и усов, стрижка мужская, стрижки, тонирование, укладка, уход за волосами и спа, химическая завивка; Руки и ноги: аппаратный маникюр, аппаратный педикюр, гель-лак, дизайн ногтей, маникюр, педикюр, рефлексотерапия, спа-уход; Лицо и тело: антицеллюлитный массаж, аппаратная косметология, биоревитализация, вакуумный массажер, гиалуроновая кислота, инъекции Ботокс, Диспорт, контурная пластика, коррекция и окрашивание бровей, лазер, лазерная эпиляция, массаж, массаж лица, мезонити, мезотерапия, миостимуляция, обертывания, окрашивание ресниц, перманентный макияж, пилинг, пирсинг, термаж, ультразвук, уход за кожей, фотоомоложение, фотоэпиляция, чистка лица, шугаринг, эпиляция;"
4fefbb663c72dd015c00000b,"Волосы: вечерние прически, выпрямление волос, детские парикмахерские, консультация трихолога, массаж головы, мезотерапия кожи головы, мелирование, наращивание волос, окрашивание, плетение кос, свадебные прически, стрижка бороды и усов, стрижка мужская, стрижки, тонирование, укладка, уход за волосами и спа, химическая завивка; Руки и ноги: аппаратный педикюр, гелевые ногти, дизайн ногтей, маникюр, наращивание ногтей, педикюр, спа-уход; Лицо и тело: антицеллюлитный массаж, аппаратная косметология, биоревитализация, гиалуроновая кислота, инъекции Ботокс, Диспорт, контурная пластика, коррекция и окрашивание бровей, макияж, массаж, массаж лица, мезотерапия, миостимуляция, наращивание ресниц, обертывания, окрашивание ресниц, перманентный макияж, пилинг, пирсинг, свадебный макияж, солярий, тайский массаж, ультразвук, уход за кожей, чистка лица, эпиляция;"
4f9bb22c3c72ddc331000007,"Тип мед. учреждения: диагностический центр, медицинский центр, поликлиника для взрослых, медицинская лаборатория, стоматологическая клиника, центр красоты и здоровья; Общая медицина: кардиология, общая терапия, гастроэнтерология, аллергология, ведение беременности, дерматология, венерология, колопроктология, неврология, маммология, оториноларингология, офтальмология, психотерапия, урология, эндокринология, иммунология, андрология, гинекология; Диагностика: УЗИ, эндоскопия, лабораторная диагностика, функциональная диагностика; Хирургия: пластическая хирургия, амбулаторные хирургические операции, сосудистая хирургия; Восстановительная медицина: физиотерапия, мануальная терапия, лечебный массаж, трихология, косметология, диетология, озонотерапия, вакцинация, вспомогательные репродуктивные технологии, коррекция веса; Стоматология: базовая стоматология, установка брекетов, протезирование, удаление зубов, отбеливание зубов, имплантация зубов, виниры, металлокерамика, рентгенологическая диагностика, исправление прикуса; Волосы: консультация трихолога, массаж головы, мезотерапия кожи головы, уход за волосами и спа; Руки и ноги: shellac, акриловые ногти, аппаратный маникюр, аппаратный педикюр, гелевые ногти, гель-лак, дизайн ногтей, маникюр, наращивание ногтей, педикюр, спа-уход; Лицо и тело: антицеллюлитный массаж, аппаратная косметология, биоревитализация, гиалуроновая кислота, инъекции Ботокс, Диспорт, контурная пластика, коррекция и окрашивание бровей, массаж, массаж лица, мезонити, мезотерапия, миостимуляция, наращивание ресниц, обертывания, окрашивание ресниц, пилинг, термаж, ультразвук, уход за кожей, фотоомоложение, фотоэпиляция, чистка лица, эпиляция;"
58f975af504e8d1b483243f2,"Волосы: биозавивка волос, вечерние прически, выпрямление волос, детские парикмахерские, массаж головы, мелирование, наращивание волос, окрашивание, плетение кос, свадебные прически, стрижка бороды и усов, стрижка мужская, стрижки, тонирование, укладка, уход за волосами и спа, химическая завивка; Руки и ноги: shellac, аппаратный маникюр, аппаратный педикюр, гелевые ногти, гель-лак, дизайн ногтей, маникюр, наращивание ногтей, педикюр, рефлексотерапия, спа-уход; Лицо и тело: аппаратная косметология, коррекция и окрашивание бровей, макияж, массаж лица, мехенди, наращивание ресниц, обертывания, окрашивание ресниц, перманентный макияж, пилинг, пирсинг, свадебный макияж, тату, уход за кожей, чистка лица, эпиляция;"
575a5810dbe385ad568b456f,"Волосы: биозавивка волос, вечерние прически, выпрямление волос, детские парикмахерские, массаж головы, мезотерапия кожи головы, мелирование, наращивание волос, окрашивание, плетение кос, свадебные прически, стрижка бороды и усов, стрижка мужская, стрижки, тонирование, укладка, уход за волосами и спа, химическая завивка; Руки и ноги: shellac, акриловые ногти, аппаратный маникюр, аппаратный педикюр, гелевые ногти, гель-лак, дизайн ногтей, маникюр, наращивание ногтей, педикюр, спа-уход; Лицо и тело: LPG, антицеллюлитный массаж, аппаратная косметология, биоревитализация, вакуумный массажер, велнес, гиалуроновая кислота, имидж-студии, инъекции Ботокс, Диспорт, контурная пластика, коррекция и окрашивание бровей, лазер, лазерная эпиляция, макияж, массаж, массаж лица, мезотерапия, миостимуляция, наращивание ресниц, обертывания, окрашивание ресниц, пилинг, пирсинг, свадебный макияж, термаж, ультразвук, уход за кожей, фитобочка, чистка лица, эпиляция;"
